"src_id","dst_id","weight","avg_time_gap"
"7151","5","1","1.0"
"7194","5","1","40.0"
"7266","5","1","34.0"
"7382","5","1","1.0"
"7413","5","1","1.0"
"7574","5","1","0.0"
"7825","5","1","7.0"
"7891","5","1","32.0"
"7902","5","1","36.0"
"7903","5","2","24.0"
"7904","5","1","24.0"
"7921","5","1","24.0"
"7922","5","1","23.0"
"8246","5","1","23.0"
"8501","5","1","6.0"
"8527","5","1","24.0"
"8984","5","2","27.0"
"9118","5","1","27.0"
"9474","5","1","1.0"
"9578","5","1","29.0"
"9677","5","1","6.0"
"9844","5","1","35.0"
"9951","5","1","40.0"
"10054","5","1","2.0"
"10145","5","1","18.0"
"10155","5","2","30.0"
"10301","5","2","4.0"
"10476","5","1","16.0"
"10591","5","1","43.0"
"10595","5","1","21.0"
"10827","5","1","5.0"
"10876","5","1","38.0"
"10960","5","1","10.0"
"11026","5","1","18.0"
"11347","5","1","49.0"
"11376","5","2","1.5"
"12254","5","1","9.0"
"12520","5","1","3.0"
"12753","5","1","3.0"
"12762","5","1","40.0"
"12823","5","1","0.0"
"13146","5","1","33.0"
"13314","5","1","3.0"
"13476","5","1","47.0"
"13601","5","1","1.0"
"13708","5","1","26.0"
"14295","5","1","13.0"
"14663","5","1","8.0"
"14837","5","1","0.0"
"14902","5","1","44.0"
"15051","5","1","23.0"
"15290","5","1","30.0"
"15392","5","1","37.0"
"15636","5","1","20.0"
"16019","5","1","30.0"
"16063","5","2","1.0"
"16097","5","1","33.0"
"16180","5","2","0.0"
"16256","5","1","20.0"
"16257","5","1","23.0"
"16259","5","1","31.0"
"16522","5","1","0.0"
"16530","5","1","3.0"
"16531","5","1","3.0"
"16650","5","1","22.0"
"16766","5","1","22.0"
"17138","5","1","33.0"
"18416","5","1","30.0"
"18491","5","1","11.0"
"18519","5","1","22.0"
"18522","5","2","30.5"
"18523","5","1","38.0"
"20223","5","1","5.0"
"20316","5","1","10.0"
"20563","5","1","9.0"
"21122","5","1","1.0"
"21312","5","1","37.0"
"21621","5","1","17.0"
"22122","5","1","50.0"
"22150","5","1","31.0"
"23599","5","1","2.0"
"24291","5","1","46.0"
"24619","5","1","0.0"
"25266","5","1","24.0"
"25364","5","1","35.0"
"25774","5","1","2.0"
"26579","5","1","42.0"
"27007","5","1","27.0"
"27077","5","1","0.0"
"27090","5","1","13.0"
"27165","5","1","5.0"
"27545","5","2","19.5"
"27615","5","1","26.0"
"27647","5","1","25.0"
"28243","5","6","1.6666666666666667"
"28793","5","1","45.0"
"28972","5","1","17.0"
"29841","5","1","32.0"
"29849","5","1","18.0"
"30179","5","1","22.0"
"30471","5","1","5.0"
"30479","5","1","1.0"
"31124","5","1","39.0"
"31389","5","1","34.0"
"31756","5","1","50.0"
"32371","5","1","2.0"
"32930","5","1","1.0"
"32961","5","1","43.0"
"33849","5","1","38.0"
"34104","5","1","36.0"
"35517","5","1","34.0"
"35803","5","2","42.5"
"35914","5","1","28.0"
"36367","5","1","35.0"
"36368","5","1","41.0"
"36522","5","1","43.0"
"36526","5","1","43.0"
"37381","5","1","28.0"
"38355","5","1","43.0"
"38511","5","1","11.0"
"38721","5","1","1.0"
"39458","5","1","22.0"
"39648","5","1","1.0"
"39839","5","1","43.0"
"39840","5","1","43.0"
"39908","5","1","1.0"
"39934","5","1","0.0"
"40706","5","1","42.0"
"41272","5","1","42.0"
"41291","5","1","4.0"
"41434","5","1","0.0"
"42147","5","1","41.0"
"42202","5","1","25.0"
"42304","5","1","2.0"
"42520","5","1","15.0"
"43203","5","1","19.0"
"43974","5","1","1.0"
"43976","5","1","0.0"
